delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,classification,Theta_LowAlpha_Ratio,Theta_HighAlpha_Ratio,Delta_Theta_Ratio,Total_Alpha,Total_Beta,Total_Gamma,High_Low_Alpha_Diff,High_Low_Beta_Diff,High_Low_Gamma_Diff
2840183,1505707,595549,287525,595549,72929,42048,1229322,0,2.53,5.24,1.89,883074,668478,1271370,-308024,-522620,1187274
1557637,744913,446360,205873,446360,84725,203440,75659,1,1.67,3.62,2.09,652233,531085,279099,-240487,-361635,-127781
2268619,615005,406158,350970,406158,73134,37244,21248,0,1.51,1.75,3.69,757128,479292,58492,-55188,-333024,-15996
1395241,439589,350979,498144,350979,87286,252049,225581,1,1.25,0.88,3.17,849123,438265,477630,147165,-263693,-26468
365461,528908,337003,131282,337003,171089,59665,95852,0,1.57,4.03,0.69,468285,508092,155517,-205721,-165914,36187
1578391,649304,331752,56388,331752,148326,22330,713753,0,1.96,11.51,2.43,388140,480078,736083,-275364,-183426,691423
1024383,547552,328477,224237,328477,40908,81424,1164045,0,1.67,2.44,1.87,552714,369385,1245469,-104240,-287569,1082621
2307340,740151,327869,138950,327869,227286,9628,1589194,0,2.26,5.33,3.12,466819,555155,1598822,-188919,-100583,1579566
3304602,1086481,325327,42409,325327,56469,3665,835521,1,3.34,25.62,3.04,367736,381796,839186,-282918,-268858,831856
1766851,664043,309289,116945,309289,64221,15349,1312861,0,2.15,5.68,2.66,426234,373510,1328210,-192344,-245068,1297512
859080,187162,285416,23489,285416,42186,46900,43993,1,0.66,7.97,4.59,308905,327602,90893,-261927,-243230,-2907
1215194,315369,269135,43678,269135,35896,5914,4234,0,1.17,7.22,3.85,312813,305031,10148,-225457,-233239,-1680
956793,1119489,268968,130708,268968,194283,118049,27672,0,4.16,8.56,0.85,399676,463251,145721,-138260,-74685,-90377
1738683,636362,262996,112406,262996,78746,58899,14307,0,2.42,5.66,2.73,375402,341742,73206,-150590,-184250,-44592
1076059,642013,252823,55279,252823,187344,5149,1682845,1,2.54,11.61,1.68,308102,440167,1687994,-197544,-65479,1677696
1185371,694069,249812,86158,249812,138125,34993,1711359,0,2.78,8.06,1.71,335970,387937,1746352,-163654,-111687,1676366
